国家/地区,点击次数,展示,点击率,排名
土耳其,57,315,0.18100000000000002,8.56
美国,22,27826,0.0008,14.56
埃及,14,101,0.1386,11.97
印度,8,663,0.0121,13.33
法国,7,542,0.0129,8.62
中国,7,251,0.0279,8.34
加拿大,6,2195,0.0027,13.44
意大利,5,332,0.0151,9.9
新加坡,5,253,0.019799999999999998,9.03
巴基斯坦,5,121,0.041299999999999996,18.02
伊拉克,5,81,0.0617,12
德国,3,715,0.0042,9.56
中国香港,3,168,0.0179,8.67
瑞典,3,161,0.018600000000000002,12.91
立陶宛,3,58,0.051699999999999996,12.53
阿尔巴尼亚,3,44,0.0682,8.59
澳大利亚,2,1199,0.0017000000000000001,16.89
西班牙,2,523,0.0038,9.25
荷兰,2,483,0.0040999999999999995,12.31
印度尼西亚,2,237,0.0084,8.96
菲律宾,2,196,0.0102,14.65
阿拉伯联合酋长国,2,144,0.0139,9.85
丹麦,2,122,0.016399999999999998,12.04
希腊,2,114,0.0175,11.12
摩洛哥,2,71,0.0282,11.01
卡塔尔,2,38,0.0526,9.71
阿曼,2,16,0.125,10.81
英国,1,2644,0.0004,22.6
巴西,1,1250,0.0008,10.03
波兰,1,243,0.0040999999999999995,9.92
比利时,1,175,0.005699999999999999,10.91
新西兰,1,170,0.0059,13.65
日本,1,168,0.006,9.45
马来西亚,1,135,0.0074,8.55
南非,1,123,0.008100000000000001,30.03
孟加拉,1,121,0.0083,10.47
葡萄牙,1,120,0.0083,9.41
罗马尼亚,1,116,0.0086,11.64
挪威,1,113,0.0088,12.04
奥地利,1,109,0.0092,9.91
沙特阿拉伯,1,89,0.011200000000000002,10.33
芬兰,1,71,0.0141,10.9
台湾,1,65,0.0154,8.02
约旦,1,41,0.024399999999999998,11.49
尼日利亚,1,38,0.0263,9.45
突尼斯,1,35,0.0286,10.17
塞浦路斯,1,32,0.031200000000000002,9.66
黎巴嫩,1,21,0.047599999999999996,11.05
叙利亚,1,7,0.1429,8
吉尔吉斯斯坦,1,6,0.16670000000000001,8.17
马尔代夫,1,6,0.16670000000000001,9.67
墨西哥,0,429,0,11.18
越南,0,351,0,12.31
阿根廷,0,256,0,9.38
哥伦比亚,0,205,0,9.22
以色列,0,202,0,11.77
瑞士,0,178,0,11.12
爱尔兰,0,167,0,16.14
乌克兰,0,149,0,8.21
韩国,0,129,0,9.77
泰国,0,123,0,8.04
俄罗斯,0,123,0,15.28
秘鲁,0,118,0,9.62
厄瓜多尔,0,107,0,9.24
智利,0,92,0,10.88
塞尔维亚,0,91,0,9.97
匈牙利,0,87,0,13.14
伊朗,0,86,0,8.79
保加利亚,0,76,0,11.64
捷克,0,74,0,11.09
多米尼加共和国,0,62,0,9.32
克罗地亚,0,58,0,10.14
斯洛伐克,0,56,0,10.7
阿尔及利亚,0,53,0,12.77
拉脱维亚,0,52,0,12.92
格鲁吉亚,0,50,0,8.7
爱沙尼亚,0,48,0,13.17
委内瑞拉,0,47,0,10.62
巴拉圭,0,44,0,10.77
特立尼达和多巴哥,0,44,0,11.82
哈萨克斯坦,0,43,0,8.33
乌拉圭,0,42,0,9.26
牙买加,0,36,0,10.58
巴林,0,34,0,9.68
摩尔多瓦,0,34,0,10.91
波斯尼亚和黑塞哥维那,0,31,0,7.97
尼泊尔,0,31,0,10.42
波多黎各,0,30,0,8.5
巴拿马,0,29,0,10.93
马耳他,0,26,0,9.46
科威特,0,26,0,10.31
斯洛文尼亚,0,26,0,13.46
哥斯达黎加,0,25,0,9.76
冰岛,0,25,0,11.4
玻利维亚,0,25,0,13.56
洪都拉斯,0,24,0,9
白俄罗斯,0,23,0,7.09
阿塞拜疆,0,23,0,10.48
马其顿,0,22,0,12
肯尼亚,0,22,0,13.18
卢森堡,0,22,0,19.14
加纳,0,21,0,9.81
巴巴多斯,0,19,0,9.84
格林纳达,0,18,0,8.72
巴哈马,0,17,0,9.71
乌兹别克斯坦,0,17,0,10.29
柬埔寨,0,17,0,10.82
亚美尼亚,0,16,0,9.88
埃塞俄比亚,0,16,0,11.62
蒙古,0,16,0,12.62
斯里兰卡,0,15,0,11.13
