ref,url,page_type,clicks,impressions,ctr,position,recommendation,priority,cluster,reason
home,https://asgdropshipping.com/,home,164,697,0.2353,4.0,KEEP,P3,,"non-content, out of audit scope (home surface)"
how-long-does-stockx-take-to-ship,https://asgdropshipping.com/how-long-does-stockx-take-to-ship/,article,13,21925,0.0006,9.1,UPGRADE,P0,logistics,high demand 21925 impr but CTR 0.0006 at pos 9.1 — title/meta/snippet not capturing the click; refresh + rich-snippet pass
products,https://asgdropshipping.com/products/,product,5,379,0.0132,1.8,KEEP,P3,,"non-content, out of audit scope (product surface)"
dropshipping-automation-software,https://asgdropshipping.com/dropshipping-automation-software/,article,4,3278,0.0012,29.9,UPGRADE,P1,general,"pos 29.9, 3278 impr but 4 clicks — topic has demand, underperforming SERP; rewrite intro/title"
best-dhgate-sellers-in-2024,https://asgdropshipping.com/best-dhgate-sellers-in-2024/,article,3,240,0.0125,11.1,UPGRADE,P2,sourcing,"pos 11.1, 240 impr but 3 clicks — topic has demand, underperforming SERP; rewrite intro/title + de-stale year"
dropshipping-service,https://asgdropshipping.com/dropshipping-service/,system,2,307,0.0065,2.1,KEEP,P3,,"non-content, out of audit scope (system surface)"
the-top-10-dropshipping-suppliers-and-platforms,https://asgdropshipping.com/the-top-10-dropshipping-suppliers-and-platforms/,article,2,166,0.012,29.6,UPGRADE,P2,sourcing,"pos 29.6, 166 impr but 2 clicks — topic has demand, underperforming SERP; rewrite intro/title"
usps-vs-ups,https://asgdropshipping.com/usps-vs-ups/,article,1,8502,0.0001,17.4,UPGRADE,P0,comparison,high demand 8502 impr but CTR 0.0001 at pos 17.4 — title/meta/snippet not capturing the click; refresh + rich-snippet pass
what-happened-to-pandabuy-is-pandabuy-legit,https://asgdropshipping.com/what-happened-to-pandabuy-is-pandabuy-legit/,article,1,3042,0.0003,12.5,UPGRADE,P0,sourcing,high demand 3042 impr but CTR 0.0003 at pos 12.5 — title/meta/snippet not capturing the click; refresh + rich-snippet pass
hypersku-vs-private-dropshipping-agent-which-is-better-in-2026,https://asgdropshipping.com/hypersku-vs-private-dropshipping-agent-which-is-better-in-2026/,article,1,510,0.002,7.3,KEEP,P2,comparison,"ranking pos 7.3 with 1 clicks / 510 impr — performing, hold"
affiliate-program,https://asgdropshipping.com/affiliate-program/,system,1,286,0.0035,1.6,KEEP,P3,,"non-content, out of audit scope (system surface)"
about-us-2,https://asgdropshipping.com/about-us-2/,system,1,273,0.0037,4.7,KEEP,P3,,"non-content, out of audit scope (system surface)"
from,https://asgdropshipping.com/from/,category,1,255,0.0039,2.0,KEEP,P3,,"non-content, out of audit scope (category surface)"
